,Name,City,Address,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
0,Винарска Визба Тиквеш - дирекција,Скопје,"Скопје, ул.812 2", ,"['вина - производство', 'претставништва на домашни фирми', 'вина - трговија', 'винарски визби']",02 3114383,http://www.tikves.com.mk/,https://www.instagram.com/tikveswinery/,https://,41.9663308,21.2994046
1,Винарија Охрид,Охрид,"Охрид, Железничка б.б.",Работно време: Пон - Пет од 07:00 до 15:00,['винарски визби'],046 279225,http://,https://www.instagram.com/vinarijaohrid/?fbclid=IwAR3JenRG4b7ANEX5QcMGq94n0enjhb7vjsjKaQwTRIcWMvSFWx,https://,41.117624449999994,20.79953878734662
2,Кралска Винарија-Кралица Марија,Демир Капија,"Демир Капија, Маршал Тито 63", ,"['винотеки (винарници)', 'винарски визби', 'ресторани', 'апартмани и приватни соби - изнајмување', 'вина - производство']",043 446500,http://www.wineryqueenmaria.com/,https://www.instagram.com/wineryqueenm/,https://,41.4089752,22.2446286
3,Борд лајф винари,Скопје,"Скопје, с.Кучково", ,"['винарски визби', 'вина - производство', 'винотеки (винарници)']",070 331114,http://,https://,https://,42.0575088,21.3061945
4,Винарија Илиев,Кавадарци,"Кавадарци, с.Сопот", ,['винарски визби'],071 219233,http://,https://,https://www.facebook.com/kargobitola,41.4907437,22.0240662
5,Семејна Винарија Захарчев,Кавадарци,"Кавадарци, Косовска 16", ,"['винарски визби', 'винотеки (винарници)']",070 743742,http://,https://www.instagram.com/zaharchevfamilywinery/,https://www.facebook.com/ZaharchevFamilyWinery,41.436157550000004,22.004775441666666
6,Винарија Томов,Неготино,"Неготино, с.Тимјаник", ,['винарски визби'],076 808994,http://,https://,https://,41.4683458,22.0821935
7,Винарска Визба Тиквеш-Продавница Центар,Скопје,"Скопје, Томе Пуре 2", ,"['винарски визби', 'винотеки (винарници)']",02 3114383,http://www.tikves.com.mk/,https://www.instagram.com/tikveswinery/,https://,42.0285294,21.4421211
8,Иванов Винарија,Кавадарци,"Кавадарци, Игман 11", ,"['вина - трговија', 'винарски визби']",075 350084,http://,https://,https://www.facebook.com/IvanovWinery/,41.4365088,22.0053332
9,Арабеска винарија,Кавадарци,"Кавадарци, с.Сопот", ,"['вина - производство', 'вина - трговија', 'винарски визби']",075 239243,http://,https://,https://www.facebook.com/profile.php?id=100076076766951,41.4907437,22.0240662
10,Винар,Скопје,"Скопје, Сремски Фронт 31",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винотеки (винарници)']",02 2043332,http://www.vinar.com.mk/,https://,https://,42.0048476,21.3817595
11,Манастирска винарија,Охрид,"Охрид, с.Опеница", ,['винотеки (винарници)'],078 474656,http://monasterywinery.com/,https://www.instagram.com/monasterywinery/,https://www.facebook.com/monasterywinery/,41.1827744,20.8690771
17,Сковин - дирекција,Скопје,"Скопје, 15-ти Корпус 3",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - трговија', 'винарски визби', 'вина - производство']",02 3145725,http://www.skovin.com.mk/,https://www.instagram.com/skovin_winery/?hl=en,https://www.facebook.com/SkovinVinarija,41.9997655,21.4725832
18,Риго-импекс,Скопје,"Скопје, Наум Наумовски Борче 40",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'вина - трговија', '200 најуспешни']",02 3290244,http://,https://,https://,41.998755,21.424403438976377
19,Венец,Неготино,"Неготино, с.Долни Дисан",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - производство', 'млеко и млечни производи', 'сточна храна - фабрики и млинови', 'брашно-производство и трговија', 'винарски визби']",043 369200,http://www.venec.mk/,https://www.instagram.com/venecwinery/?igshid=1usrf919p9v8,https://www.facebook.com/venecwinery/,41.4291019,22.0951754
20,Дудин,Неготино,"Неготино, Ацо Аџи Илов б.б.",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - производство', 'винарски визби']",043 368506,http://www.dudinwinery.com.mk/,https://,https://,41.4832929,22.0879051
21,Аневски винерија,Штип,"Штип, Железничка 39",Работно време: Пон - Пет од 07:00 до 15:00,"['винарски визби', 'вина - производство', 'вина - трговија']",032 392925,http://www.acpwinery.com/,https://,https://,41.7532311,22.1731059
22,Гоце Делчев-Тиквеш,Кавадарци,"Кавадарци, с.Возарци",Работно време: Пон - Саб од 06:30 до 14:30,['винарски визби'],043 415916,http://www.gdtikveswinery.com/,https://www.instagram.com/gdtikveswinery/,https://www.facebook.com/GDTikvesWines,41.4296452,21.9235809
23,Ерос трејд,Кавадарци,"Кавадарци, с.Марена", ,"['вина - производство', 'винарски визби']",071 375795,http://,https://www.instagram.com/eroswinery/,https://www.facebook.com/eroswinery/,41.4687873,22.0272806
24,ММ Инвестмент - Лозар,Велес,"Велес, Академик Пенчо Давчев (Скопски Пат) 130",Работно време: Пон - Пет од 07:00 до 15:00,['винарски визби'],043 212620,http://www.lozar.mk/,https://,https://,41.7408489,21.7739318
25,Попова кула,Скопје,"Скопје, Даме Груев 5-7/1",Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', 'вина - трговија', 'вина - производство']",02 3216719,http://www.popovakula.com.mk/,https://,https://www.facebook.com/pages/Popova-Kula-Winery/301452074622,42.0202774,21.3553188
26,Визба Валандово,Валандово,"Валандово, Никола Карев 6",Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', '200 најуспешни', 'извозници']",034 383880,http://www.vizbavalandovo.com.mk/,https://www.instagram.com/explore/locations/1016269714/macedonia/valandovo/vizba-valandovo/,https://www.facebook.com/wineryvizbavalandovo/,41.3168886,22.5626918
27,Далвина,Скопје,"Скопје, Франклин Рузвелт 22",Работно време: Пон - Пет од 08:00 до 16:00,"['винотеки (винарници)', 'вина - производство', 'вина - трговија', 'винарски визби']",02 3245345,http://www.dalvina.com.mk/,https://,https://www.facebook.com/myheartwisdom/,42.0034374,21.4149992
28,Езимит,Штип,"Штип, Брегалничка 64",Работно време: Пон - Пет од 07:30 до 15:30,"['вина - производство', 'вина - трговија', 'винарски визби']",032 387809,http://www.ezimit.mk/,https://www.instagram.com/ezimit/,https://www.facebook.com/pages/EZIMIT-VINO/201209806539,41.7497149,22.1879596
29,Шато сопот,Велес,"Велес, с.Сопот",Работно време: Пон - Нед од 09:00 до 22:00,"['вина - производство', 'винарски визби', 'ресторани']",078 663300,http://www.chateausopot.mk/,https://www.instagram.com/chateausopot/?fbclid=IwAR3e06q3Z_E2jn1SRDs-XRaK3nMTyRKvbGb30raS8TJLhhKbkJ3,https://,41.7841237,21.7185573
30,ВВМ ГД Тиквеш,Кавадарци,"Кавадарци, Шишка 2", ,['винарски визби'],043 412852,http://www.gdtikveswinery.com/,https://,https://,41.4388596,22.0190144
31,Кувин,Скопје,"Скопје, Македонска Преродба 70",Работно време: Пон - Нед од 08:00 до 00:00,"['винотеки (винарници)', 'винарски визби']",075 233340,http://www.winerykuvin.com/mk,https://,https://www.facebook.com/dresuratasevski/,42.0096975,21.3574796
32,Бујук,Кавадарци,"Кавадарци, с.Дабниште", ,"['винотеки (винарници)', 'винарски визби']",075 840937,http://,https://,https://,41.3784558,22.0135161
33,Ангелови,Кавадарци,"Кавадарци, Македонија 6.6.", ,"['винотеки (винарници)', 'винарски визби']",043 550887,http://,https://,https://,41.4411126,22.0105934
34,Дестилерија Китвин,Кавадарци,"Кавадарци, Вељко Влаховиќ 2-2/6", ,"['винарски визби', 'ракија - производство']",070 218024,http://www.kitvin.mk/,https://www.instagram.com/kitvindistillery/,https://www.facebook.com/kitvindistillery,41.4425204,22.0088447
