Name,City,Address,Latin,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
Винарска Визба Тиквеш,Кавадарци,"Кавадарци, 29-ти Ноември 5","Kavadarci, 29-ti Noemvri 5",Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', 'исо стандардизирани фирми', 'вина - производство', 'вина - трговија', 'пијалаци - алкохолни - производство', 'извозници', '200 најуспешни']",043 447500,http://www.tikves.com.mk/,https://,https://,Not available,Not available
Винарија Попов,Кавадарци,"Кавадарци, Гоце Делчев, с.Росоман 13-а","Kavadarci, Goce Delchev, s.Rosoman 13-a",Работно време: Пон - Пет од 07:00 до 16:00,"['винарски визби', 'вина - производство']",043 551001,http://www.popovwinery.com.mk/,https://,https://,Not available,Not available
Тристо Винари,Велес,"Велес, с.Сујаклари","Veles, s.Sujaklari",Работно време: Пон - Пет од 08:00 до 15:00,"['вина - производство', 'винарски визби', 'винотеки (винарници)']",078 389958,http://www.tristo.com.mk/,https://,https://www.facebook.com/tristo.winery/,Not available,Not available
Винарска Визба Тиквеш - дирекција,Скопје,"Скопје, ул.812 2","Skopje, ul.812 2", ,"['вина - производство', 'претставништва на домашни фирми', 'вина - трговија', 'винарски визби']",02 3114383,http://www.tikves.com.mk/,https://www.instagram.com/tikveswinery/,https://,41.9663308,21.2994046
Винарија Охрид,Охрид,"Охрид, Железничка б.б.","Ohrid, Zheleznichka b.b.",Работно време: Пон - Пет од 07:00 до 15:00,['винарски визби'],046 279225,http://,https://www.instagram.com/vinarijaohrid/?fbclid=IwAR3JenRG4b7ANEX5QcMGq94n0enjhb7vjsjKaQwTRIcWMvSFWx,https://,41.117624449999994,20.79953878734662
Стоби Винарија,Велес,"Велес, Автопат, с.Градско 2","Veles, Avtopat, s.Gradsko 2",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'ресторани']",043 215800,http://www.stobiwinery.mk/,https://,https://www.facebook.com/StobiWinery,Not available,Not available
Филовски винарија - Дирекција,Скопје,"Скопје, 11-ти Октомври 23-а-1/1","Skopje, 11-ti Oktomvri 23-a-1/1",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']",02 3133394,http://www.filovski.com.mk/,https://,https://www.facebook.com/Filovski.Family.Winery/,Not available,Not available
Лазар Винарија,Велес,"Велес, Археолошки Локалитет Стоби Градско","Veles, Arheoloshki Lokalitet Stobi Gradsko", ,"['винарски визби', 'вина - производство', 'вина - трговија', 'апартмани и приватни соби - изнајмување', 'ресторани']",070 315800,http://www.lazarwinery.mk/,https://,https://,Not available,Not available
Кралска Винарија-Кралица Марија,Демир Капија,"Демир Капија, Маршал Тито 63","Demir Kapija, Marshal Tito 63", ,"['винотеки (винарници)', 'винарски визби', 'ресторани', 'апартмани и приватни соби - изнајмување', 'вина - производство']",043 446500,http://www.wineryqueenmaria.com/,https://www.instagram.com/wineryqueenm/,https://,41.4089752,22.2446286
Борд лајф винари,Скопје,"Скопје, с.Кучково","Skopje, s.Kuchkovo", ,"['винарски визби', 'вина - производство', 'винотеки (винарници)']",070 331114,http://,https://,https://,42.0575088,21.3061945
